Reference, Quantity, Value, Footprint, Datasheet
C1 ,1,100uf,matts_components:C1V7_lg_pad,
C2 ,1,100nf,matts_components:C1_wide_lg_pad,
D1 D2 D3 D4 ,4,IR,REInnovationFootprint:LED-5MM_larg_pad,
D5 ,1,RED,REInnovationFootprint:LED-5MM_larg_pad,
IC1 ,1,ATTINY85,REInnovationFootprint:DIP-8__300_ELL,
P1 ,1,BATTERY,REInnovationFootprint:conn_2_battery,
P2 ,1,ISP,REInnovationFootprint:TH3x2_ISP,
P3 ,1,PCB,dp_devices:dp_devices-DP5031_V1,
P4 P5 P6 P7 ,4,PCB,REInnovationFootprint:NPTH_3MM,
Q1 ,1,BC640,REInnovationFootprint:TO92-ECB_large_pad_BC639,
Q2 Q3 Q4 Q5 ,4,BC548,REInnovationFootprint:TO92-EBC_large_pad,
R1 R4 ,2,1k,REInnovationFootprint:TH_Resistor_1,
R2 R3 ,2,10k,REInnovationFootprint:TH_Resistor_1,
SW1 ,1,START,REInnovationFootprint:SW_PUSH_SMALL_lg_pad,
Y1 ,1,8MHz,REInnovationFootprint:SIL-3_lg_pad,